num_bidder,num_bids,prod_id,title,model,prod_milage,prod_yr,final_price,starting_price,length,brand,start_time,end_time
10,13,331077709269,Chevrolet : Impala SPORT SEDAN, AC,30000,1964,6665.65,2000.0,432000,Chevrolet,1385849185.0,1386281185.0
12,48,161161493714,Chevrolet : Cavalier Cavalier, AC,167082,2002,1850.0,0.99,604800,Chevrolet,1385667900.0,1386272700.0
11,50,161161495358,Ford : F-350 F350, AC,153712,1996,2259.56,0.99,604800,Ford,1385667900.0,1386272700.0
10,38,161161697397,Dodge : Neon Neon, AC,17777,2002,3050.0,0.99,604800,Dodge,1385667900.0,1386272700.0
16,71,400615813863,Chevrolet : Silverado 2500 2500HD, AC,170252,2004,7400.0,0.99,604800,Chevrolet,1385667600.0,1386272400.0
7,15,301030116284,Ford : Explorer EDDIE BAUER, AC,95385,1998,1700.0,500.0,604800,Ford,1385667439.0,1386272239.0
17,51,301030097159,Saturn : Vue 5-SPEED, AC,94949,2005,3150.0,500.0,604800,Saturn,1385665626.0,1386270426.0
10,36,301030086679,Ford : Windstar LIMITED, AC,107683,2001,3050.0,500.0,604800,Ford,1385664300.0,1386269100.0
5,10,190985257518,Ford : Expedition XLT 4WD, AC,167538,2000,1495.0,500.0,604800,Ford,1385661600.0,1386266400.0
8,44,380782656130,Honda : Insight EX Hybrid, AC,86276,2010,11000.0,100.0,604800,Honda,1385641145.0,1386245945.0
5,6,261344571575,Mercedes-Benz : G-Class 280, AC,84000,1980,13700.0,200.0,432000,Mercedes-Benz,1385913706.0,1386345706.0
14,52,221326165044,Ford : Taurus  Roomy Sedan V6 Cold AC Runs Well Save Here , AC,124147,2005,2187.66,1.0,604800,Ford,1385580600.0,1386185400.0
7,10,141130208828,Chevrolet : Nova Wagon, AC,70000,1965,4200.0,200.0,604800,Chevrolet,1385887058.0,1386491858.0
9,26,111226592533,Scion : tC Sport Coupe, AC,128468,2005,3309.0,500.0,432000,Scion,1385488800.0,1385920800.0
16,44,281214268227,Cadillac : CTS LEATHER/BOSE/RWD/ CD//AC//NO RESERVE/AC/LEATHER/, AC,5493,2013,22000.0,200.0,604800,Cadillac,1385310600.0,1385915400.0
19,43,171180529042,Ford : E-Series Van XL, AC,124370,2002,3678.0,0.99,604800,Ford,1385231400.0,1385836200.0
4,10,390709877410,Jeep : Wrangler 2dr Rubicon, AC,106238,2005,12388.0,500.0,604800,Jeep,1385318268.0,1385923068.0
5,29,291022184923,Cadillac : Fleetwood 4dr Sedan, AC,152322,1996,3300.0,500.0,604800,Cadillac,1385064291.0,1385669091.0
11,33,301023744469,Infiniti : J30 J 30 RARE, AC,110212,1993,1975.0,500.0,604800,Infiniti,1385063738.0,1385668538.0
9,38,301023741468,Chevrolet : Express G1500 G 1500, AC,119198,1997,2950.0,500.0,604800,Chevrolet,1385063471.0,1385668271.0
11,33,121220149261,Chrysler : Sebring GTC COUPE, AC,126743,2005,2025.0,500.0,604800,Chrysler,1385063100.0,1385667900.0
10,47,301023712407,Volkswagen : Cabrio CONVERTIBLE, AC,111976,1993,2215.0,500.0,604800,Volkswagen,1385060889.0,1385665689.0
13,41,380780361927,Chevrolet : Camaro Z28 RAM AIR 97K ORIGINAL MILES , AC,97000,1981,6100.0,100.0,259200,Chevrolet,1385396712.0,1385655912.0
6,11,141120436813,Volkswagen : Bus/Vanagon Metallic Blue, AC,147000,1988,15000.0,9000.0,604800,Volkswagen,1385028000.0,1385632800.0
7,15,111223288223,Chevrolet : Corvette 9650 MILES!!, AC,9650,2010,39900.0,100.0,604800,Chevrolet,1385143200.0,1385748000.0
2,22,111223425840,Pontiac : Grand Am SE 2dr Coupe, AC,78129,1994,890.0,500.0,432000,Pontiac,1385144100.0,1385576100.0
3,9,291021170169,Ford : F-250 XL, AC,104235,2008,10688.0,100.0,864000,Ford,1384941960.0,1385805960.0
